,order_id,product_id,unit_price_moment,quantity,discount,customer_id,employee_id,order_date,required_date,shipped_date,freight,ship_name,ship_address,ship_city,ship_country,order_year,year_month,product_name,supplier_id,category_id,quantity_per_unit,unit_price_historic,units_in_stock,units_on_order,reorder_level,discontinued,company_name,contact_name,contact_title,address,city,postal_code,country,total_item
13,10252,60,27.2,40,0.0,SUPRD,4,1996-07-09,1996-08-06,1996-07-11,51.3,Suprêmes délices,"Boulevard Tirou, 255",Charleroi,Belgium,1996,1996-07,Camembert Pierrot,28,4,15 - 300 g rounds,34.0,19,0,0,0,Suprêmes délices,Pascale Cartrain,Accounting Manager,"Boulevard Tirou, 255",Charleroi,B-6000,Belgium,1088.0
14,10253,31,10.0,20,0.0,HANAR,3,1996-07-10,1996-07-24,1996-07-16,58.17,Hanari Carnes,"Rua do Paço, 67",Rio de Janeiro,Brazil,1996,1996-07,Gorgonzola Telino,14,4,12 - 100 g pkgs,12.5,0,70,20,0,Hanari Carnes,Mario Pontes,Accounting Manager,"Rua do Paço, 67",Rio de Janeiro,05454-876,Brazil,200.0
15,10253,39,14.4,42,0.0,HANAR,3,1996-07-10,1996-07-24,1996-07-16,58.17,Hanari Carnes,"Rua do Paço, 67",Rio de Janeiro,Brazil,1996,1996-07,Chartreuse verte,18,1,750 cc per bottle,18.0,69,0,5,0,Hanari Carnes,Mario Pontes,Accounting Manager,"Rua do Paço, 67",Rio de Janeiro,05454-876,Brazil,604.8000000000001
16,10253,49,16.0,40,0.0,HANAR,3,1996-07-10,1996-07-24,1996-07-16,58.17,Hanari Carnes,"Rua do Paço, 67",Rio de Janeiro,Brazil,1996,1996-07,Maxilaku,23,3,24 - 50 g pkgs.,20.0,10,60,15,0,Hanari Carnes,Mario Pontes,Accounting Manager,"Rua do Paço, 67",Rio de Janeiro,05454-876,Brazil,640.0
17,10254,24,3.6,15,0.15,CHOPS,5,1996-07-11,1996-08-08,1996-07-23,22.98,Chop-suey Chinese,Hauptstr. 31,Bern,Switzerland,1996,1996-07,Guaraná Fantástica,10,1,12 - 355 ml cans,4.5,20,0,0,1,Chop-suey Chinese,Yang Wang,Owner,Hauptstr. 29,Bern,3012,Switzerland,39.0
18,10254,55,19.2,21,0.15,CHOPS,5,1996-07-11,1996-08-08,1996-07-23,22.98,Chop-suey Chinese,Hauptstr. 31,Bern,Switzerland,1996,1996-07,Pâté chinois,25,6,24 boxes x 2 pies,24.0,115,0,20,0,Chop-suey Chinese,Yang Wang,Owner,Hauptstr. 29,Bern,3012,Switzerland,388.2
19,10254,74,8.0,21,0.0,CHOPS,5,1996-07-11,1996-08-08,1996-07-23,22.98,Chop-suey Chinese,Hauptstr. 31,Bern,Switzerland,1996,1996-07,Longlife Tofu,4,7,5 kg pkg.,10.0,4,20,5,0,Chop-suey Chinese,Yang Wang,Owner,Hauptstr. 29,Bern,3012,Switzerland,168.0
20,10255,2,15.2,20,0.0,RICSU,9,1996-07-12,1996-08-09,1996-07-15,148.33,Richter Supermarkt,Starenweg 5,Genève,Switzerland,1996,1996-07,Chang,1,1,24 - 12 oz bottles,19.0,17,40,25,1,Richter Supermarkt,Michael Holz,Sales Manager,Grenzacherweg 237,Genève,1203,Switzerland,304.0
21,10255,16,13.9,35,0.0,RICSU,9,1996-07-12,1996-08-09,1996-07-15,148.33,Richter Supermarkt,Starenweg 5,Genève,Switzerland,1996,1996-07,Pavlova,7,3,32 - 500 g boxes,17.45,29,0,10,0,Richter Supermarkt,Michael Holz,Sales Manager,Grenzacherweg 237,Genève,1203,Switzerland,486.5
22,10255,36,15.2,25,0.0,RICSU,9,1996-07-12,1996-08-09,1996-07-15,148.33,Richter Supermarkt,Starenweg 5,Genève,Switzerland,1996,1996-07,Inlagd Sill,17,8,24 - 250 g  jars,19.0,112,0,20,0,Richter Supermarkt,Michael Holz,Sales Manager,Grenzacherweg 237,Genève,1203,Switzerland,380.0
23,10255,59,44.0,30,0.0,RICSU,9,1996-07-12,1996-08-09,1996-07-15,148.33,Richter Supermarkt,Starenweg 5,Genève,Switzerland,1996,1996-07,Raclette Courdavault,28,4,5 kg pkg.,55.0,79,0,0,0,Richter Supermarkt,Michael Holz,Sales Manager,Grenzacherweg 237,Genève,1203,Switzerland,1320.0
24,10256,53,26.2,15,0.0,WELLI,3,1996-07-15,1996-08-12,1996-07-17,13.97,Wellington Importadora,"Rua do Mercado, 12",Resende,Brazil,1996,1996-07,Perth Pasties,24,6,48 pieces,32.8,0,0,0,1,Wellington Importadora,Paula Parente,Sales Manager,"Rua do Mercado, 12",Resende,08737-363,Brazil,393.0
25,10256,77,10.4,12,0.0,WELLI,3,1996-07-15,1996-08-12,1996-07-17,13.97,Wellington Importadora,"Rua do Mercado, 12",Resende,Brazil,1996,1996-07,Original Frankfurter grüne Soße,12,2,12 boxes,13.0,32,0,15,0,Wellington Importadora,Paula Parente,Sales Manager,"Rua do Mercado, 12",Resende,08737-363,Brazil,124.80000000000001
26,10257,27,35.1,25,0.0,HILAA,4,1996-07-16,1996-08-13,1996-07-22,81.91,HILARION-Abastos,Carrera 22 con Ave. Carlos Soublette #8-35,San Cristóbal,Venezuela,1996,1996-07,Schoggi Schokolade,11,3,100 - 100 g pieces,43.9,49,0,30,0,HILARION-Abastos,Carlos Hernández,Sales Representative,Carrera 22 con Ave. Carlos Soublette #8-35,San Cristóbal,5022,Venezuela,877.5
27,10257,39,14.4,6,0.0,HILAA,4,1996-07-16,1996-08-13,1996-07-22,81.91,HILARION-Abastos,Carrera 22 con Ave. Carlos Soublette #8-35,San Cristóbal,Venezuela,1996,1996-07,Chartreuse verte,18,1,750 cc per bottle,18.0,69,0,5,0,HILARION-Abastos,Carlos Hernández,Sales Representative,Carrera 22 con Ave. Carlos Soublette #8-35,San Cristóbal,5022,Venezuela,86.4
28,10257,77,10.4,15,0.0,HILAA,4,1996-07-16,1996-08-13,1996-07-22,81.91,HILARION-Abastos,Carrera 22 con Ave. Carlos Soublette #8-35,San Cristóbal,Venezuela,1996,1996-07,Original Frankfurter grüne Soße,12,2,12 boxes,13.0,32,0,15,0,HILARION-Abastos,Carlos Hernández,Sales Representative,Carrera 22 con Ave. Carlos Soublette #8-35,San Cristóbal,5022,Venezuela,156.0
29,10258,2,15.2,50,0.2,ERNSH,1,1996-07-17,1996-08-14,1996-07-23,140.51,Ernst Handel,Kirchgasse 6,Graz,Austria,1996,1996-07,Chang,1,1,24 - 12 oz bottles,19.0,17,40,25,1,Ernst Handel,Roland Mendel,Sales Manager,Kirchgasse 6,Graz,8010,Austria,740.0
30,10258,5,17.0,65,0.2,ERNSH,1,1996-07-17,1996-08-14,1996-07-23,140.51,Ernst Handel,Kirchgasse 6,Graz,Austria,1996,1996-07,Chef Anton's Gumbo Mix,2,2,36 boxes,21.35,0,0,0,1,Ernst Handel,Roland Mendel,Sales Manager,Kirchgasse 6,Graz,8010,Austria,1085.0
31,10258,32,25.6,6,0.2,ERNSH,1,1996-07-17,1996-08-14,1996-07-23,140.51,Ernst Handel,Kirchgasse 6,Graz,Austria,1996,1996-07,Mascarpone Fabioli,14,4,24 - 200 g pkgs.,32.0,9,40,25,0,Ernst Handel,Roland Mendel,Sales Manager,Kirchgasse 6,Graz,8010,Austria,133.60000000000002
32,10259,21,8.0,10,0.0,CENTC,4,1996-07-18,1996-08-15,1996-07-25,3.25,Centro comercial Moctezuma,Sierras de Granada 9993,México D.F.,Mexico,1996,1996-07,Sir Rodney's Scones,8,3,24 pkgs. x 4 pieces,10.0,3,40,5,0,Centro comercial Moctezuma,Francisco Chang,Marketing Manager,Sierras de Granada 9993,México D.F.,05022,Mexico,80.0
33,10259,37,20.8,1,0.0,CENTC,4,1996-07-18,1996-08-15,1996-07-25,3.25,Centro comercial Moctezuma,Sierras de Granada 9993,México D.F.,Mexico,1996,1996-07,Gravad lax,17,8,12 - 500 g pkgs.,26.0,11,50,25,0,Centro comercial Moctezuma,Francisco Chang,Marketing Manager,Sierras de Granada 9993,México D.F.,05022,Mexico,20.8
34,10260,41,7.7,16,0.25,OTTIK,4,1996-07-19,1996-08-16,1996-07-29,55.09,Ottilies Käseladen,Mehrheimerstr. 369,Köln,Germany,1996,1996-07,Jack's New England Clam Chowder,19,8,12 - 12 oz cans,9.65,85,0,10,0,Ottilies Käseladen,Henriette Pfalzheim,Owner,Mehrheimerstr. 369,Köln,50739,Germany,98.2
35,10260,57,15.6,50,0.0,OTTIK,4,1996-07-19,1996-08-16,1996-07-29,55.09,Ottilies Käseladen,Mehrheimerstr. 369,Köln,Germany,1996,1996-07,Ravioli Angelo,26,5,24 - 250 g pkgs.,19.5,36,0,20,0,Ottilies Käseladen,Henriette Pfalzheim,Owner,Mehrheimerstr. 369,Köln,50739,Germany,780.0
36,10260,62,39.4,15,0.25,OTTIK,4,1996-07-19,1996-08-16,1996-07-29,55.09,Ottilies Käseladen,Mehrheimerstr. 369,Köln,Germany,1996,1996-07,Tarte au sucre,29,3,48 pies,49.3,17,0,0,0,Ottilies Käseladen,Henriette Pfalzheim,Owner,Mehrheimerstr. 369,Köln,50739,Germany,566.0
37,10260,70,12.0,21,0.25,OTTIK,4,1996-07-19,1996-08-16,1996-07-29,55.09,Ottilies Käseladen,Mehrheimerstr. 369,Köln,Germany,1996,1996-07,Outback Lager,7,1,24 - 355 ml bottles,15.0,15,10,30,0,Ottilies Käseladen,Henriette Pfalzheim,Owner,Mehrheimerstr. 369,Köln,50739,Germany,227.0
38,10261,21,8.0,20,0.0,QUEDE,4,1996-07-19,1996-08-16,1996-07-30,3.05,Que Delícia,"Rua da Panificadora, 12",Rio de Janeiro,Brazil,1996,1996-07,Sir Rodney's Scones,8,3,24 pkgs. x 4 pieces,10.0,3,40,5,0,Que Delícia,Bernardo Batista,Accounting Manager,"Rua da Panificadora, 12",Rio de Janeiro,02389-673,Brazil,160.0
39,10261,35,14.4,20,0.0,QUEDE,4,1996-07-19,1996-08-16,1996-07-30,3.05,Que Delícia,"Rua da Panificadora, 12",Rio de Janeiro,Brazil,1996,1996-07,Steeleye Stout,16,1,24 - 12 oz bottles,18.0,20,0,15,0,Que Delícia,Bernardo Batista,Accounting Manager,"Rua da Panificadora, 12",Rio de Janeiro,02389-673,Brazil,288.0
40,10262,5,17.0,12,0.2,RATTC,8,1996-07-22,1996-08-19,1996-07-25,48.29,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,USA,1996,1996-07,Chef Anton's Gumbo Mix,2,2,36 boxes,21.35,0,0,0,1,Rattlesnake Canyon Grocery,Paula Wilson,Assistant Sales Representative,2817 Milton Dr.,Albuquerque,87110,USA,184.0
41,10262,7,24.0,15,0.0,RATTC,8,1996-07-22,1996-08-19,1996-07-25,48.29,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,USA,1996,1996-07,Uncle Bob's Organic Dried Pears,3,7,12 - 1 lb pkgs.,30.0,15,0,10,0,Rattlesnake Canyon Grocery,Paula Wilson,Assistant Sales Representative,2817 Milton Dr.,Albuquerque,87110,USA,360.0
42,10262,56,30.4,2,0.0,RATTC,8,1996-07-22,1996-08-19,1996-07-25,48.29,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,USA,1996,1996-07,Gnocchi di nonna Alice,26,5,24 - 250 g pkgs.,38.0,21,10,30,0,Rattlesnake Canyon Grocery,Paula Wilson,Assistant Sales Representative,2817 Milton Dr.,Albuquerque,87110,USA,60.8
43,10263,16,13.9,60,0.25,ERNSH,9,1996-07-23,1996-08-20,1996-07-31,146.06,Ernst Handel,Kirchgasse 6,Graz,Austria,1996,1996-07,Pavlova,7,3,32 - 500 g boxes,17.45,29,0,10,0,Ernst Handel,Roland Mendel,Sales Manager,Kirchgasse 6,Graz,8010,Austria,809.0
44,10263,24,3.6,28,0.0,ERNSH,9,1996-07-23,1996-08-20,1996-07-31,146.06,Ernst Handel,Kirchgasse 6,Graz,Austria,1996,1996-07,Guaraná Fantástica,10,1,12 - 355 ml cans,4.5,20,0,0,1,Ernst Handel,Roland Mendel,Sales Manager,Kirchgasse 6,Graz,8010,Austria,100.8
45,10263,30,20.7,60,0.25,ERNSH,9,1996-07-23,1996-08-20,1996-07-31,146.06,Ernst Handel,Kirchgasse 6,Graz,Austria,1996,1996-07,Nord-Ost Matjeshering,13,8,10 - 200 g glasses,25.89,10,0,15,0,Ernst Handel,Roland Mendel,Sales Manager,Kirchgasse 6,Graz,8010,Austria,1217.0
46,10263,74,8.0,36,0.25,ERNSH,9,1996-07-23,1996-08-20,1996-07-31,146.06,Ernst Handel,Kirchgasse 6,Graz,Austria,1996,1996-07,Longlife Tofu,4,7,5 kg pkg.,10.0,4,20,5,0,Ernst Handel,Roland Mendel,Sales Manager,Kirchgasse 6,Graz,8010,Austria,263.0
47,10264,2,15.2,35,0.0,FOLKO,6,1996-07-24,1996-08-21,1996-08-23,3.67,Folk och fä HB,Åkergatan 24,Bräcke,Sweden,1996,1996-07,Chang,1,1,24 - 12 oz bottles,19.0,17,40,25,1,Folk och fä HB,Maria Larsson,Owner,Åkergatan 24,Bräcke,S-844 67,Sweden,532.0
48,10264,41,7.7,25,0.15,FOLKO,6,1996-07-24,1996-08-21,1996-08-23,3.67,Folk och fä HB,Åkergatan 24,Bräcke,Sweden,1996,1996-07,Jack's New England Clam Chowder,19,8,12 - 12 oz cans,9.65,85,0,10,0,Folk och fä HB,Maria Larsson,Owner,Åkergatan 24,Bräcke,S-844 67,Sweden,177.5
49,10265,17,31.2,30,0.0,BLONP,2,1996-07-25,1996-08-22,1996-08-12,55.28,Blondel père et fils,"24, place Kléber",Strasbourg,France,1996,1996-07,Alice Mutton,7,6,20 - 1 kg tins,39.0,0,0,0,1,Blondesddsl père et fils,Frédérique Citeaux,Marketing Manager,"24, place Kléber",Strasbourg,67000,France,936.0
50,10265,70,12.0,20,0.0,BLONP,2,1996-07-25,1996-08-22,1996-08-12,55.28,Blondel père et fils,"24, place Kléber",Strasbourg,France,1996,1996-07,Outback Lager,7,1,24 - 355 ml bottles,15.0,15,10,30,0,Blondesddsl père et fils,Frédérique Citeaux,Marketing Manager,"24, place Kléber",Strasbourg,67000,France,240.0
51,10266,12,30.4,12,0.05,WARTH,3,1996-07-26,1996-09-06,1996-07-31,25.73,Wartian Herkku,Torikatu 38,Oulu,Finland,1996,1996-07,Queso Manchego La Pastora,5,4,10 - 500 g pkgs.,38.0,86,0,0,0,Wartian Herkku,Pirkko Koskitalo,Accounting Manager,Torikatu 38,Oulu,90110,Finland,359.79999999999995
52,10267,40,14.7,50,0.0,FRANK,4,1996-07-29,1996-08-26,1996-08-06,208.58,Frankenversand,Berliner Platz 43,München,Germany,1996,1996-07,Boston Crab Meat,19,8,24 - 4 oz tins,18.4,123,0,30,0,Frankenversand,Peter Franken,Marketing Manager,Berliner Platz 43,München,80805,Germany,735.0
53,10267,59,44.0,70,0.15,FRANK,4,1996-07-29,1996-08-26,1996-08-06,208.58,Frankenversand,Berliner Platz 43,München,Germany,1996,1996-07,Raclette Courdavault,28,4,5 kg pkg.,55.0,79,0,0,0,Frankenversand,Peter Franken,Marketing Manager,Berliner Platz 43,München,80805,Germany,3065.0
54,10267,76,14.4,15,0.15,FRANK,4,1996-07-29,1996-08-26,1996-08-06,208.58,Frankenversand,Berliner Platz 43,München,Germany,1996,1996-07,Lakkalikööri,23,1,500 ml,18.0,57,0,20,0,Frankenversand,Peter Franken,Marketing Manager,Berliner Platz 43,München,80805,Germany,201.0
55,10268,29,99.0,10,0.0,GROSR,8,1996-07-30,1996-08-27,1996-08-02,66.29,GROSELLA-Restaurante,5ª Ave. Los Palos Grandes,Caracas,Venezuela,1996,1996-07,Thüringer Rostbratwurst,12,6,50 bags x 30 sausgs.,123.79,0,0,0,1,GROSELLA-Restaurante,Manuel Pereira,Owner,5ª Ave. Los Palos Grandes,Caracas,1081,Venezuela,990.0
56,10268,72,27.8,4,0.0,GROSR,8,1996-07-30,1996-08-27,1996-08-02,66.29,GROSELLA-Restaurante,5ª Ave. Los Palos Grandes,Caracas,Venezuela,1996,1996-07,Mozzarella di Giovanni,14,4,24 - 200 g pkgs.,34.8,14,0,0,0,GROSELLA-Restaurante,Manuel Pereira,Owner,5ª Ave. Los Palos Grandes,Caracas,1081,Venezuela,111.2
57,10269,33,2.0,60,0.05,WHITC,5,1996-07-31,1996-08-14,1996-08-09,4.56,White Clover Markets,1029 - 12th Ave. S.,Seattle,USA,1996,1996-07,Geitost,15,4,500 g,2.5,112,0,20,0,White Clover Markets,Karl Jablonski,Owner,305 - 14th Ave. S. Suite 3B,Seattle,98128,USA,115.0
58,10269,72,27.8,20,0.05,WHITC,5,1996-07-31,1996-08-14,1996-08-09,4.56,White Clover Markets,1029 - 12th Ave. S.,Seattle,USA,1996,1996-07,Mozzarella di Giovanni,14,4,24 - 200 g pkgs.,34.8,14,0,0,0,White Clover Markets,Karl Jablonski,Owner,305 - 14th Ave. S. Suite 3B,Seattle,98128,USA,551.0
59,10270,36,15.2,30,0.0,WARTH,1,1996-08-01,1996-08-29,1996-08-02,136.54,Wartian Herkku,Torikatu 38,Oulu,Finland,1996,1996-08,Inlagd Sill,17,8,24 - 250 g  jars,19.0,112,0,20,0,Wartian Herkku,Pirkko Koskitalo,Accounting Manager,Torikatu 38,Oulu,90110,Finland,456.0
60,10270,43,36.8,25,0.0,WARTH,1,1996-08-01,1996-08-29,1996-08-02,136.54,Wartian Herkku,Torikatu 38,Oulu,Finland,1996,1996-08,Ipoh Coffee,20,1,16 - 500 g tins,46.0,17,10,25,0,Wartian Herkku,Pirkko Koskitalo,Accounting Manager,Torikatu 38,Oulu,90110,Finland,919.9999999999999
61,10271,33,2.0,24,0.0,SPLIR,6,1996-08-01,1996-08-29,1996-08-30,4.54,Split Rail Beer & Ale,P.O. Box 555,Lander,USA,1996,1996-08,Geitost,15,4,500 g,2.5,112,0,20,0,Split Rail Beer & Ale,Art Braunschweiger,Sales Manager,P.O. Box 555,Lander,82520,USA,48.0
62,10272,20,64.8,6,0.0,RATTC,6,1996-08-02,1996-08-30,1996-08-06,98.03,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,USA,1996,1996-08,Sir Rodney's Marmalade,8,3,30 gift boxes,81.0,40,0,0,0,Rattlesnake Canyon Grocery,Paula Wilson,Assistant Sales Representative,2817 Milton Dr.,Albuquerque,87110,USA,388.79999999999995
63,10272,31,10.0,40,0.0,RATTC,6,1996-08-02,1996-08-30,1996-08-06,98.03,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,USA,1996,1996-08,Gorgonzola Telino,14,4,12 - 100 g pkgs,12.5,0,70,20,0,Rattlesnake Canyon Grocery,Paula Wilson,Assistant Sales Representative,2817 Milton Dr.,Albuquerque,87110,USA,400.0
64,10272,72,27.8,24,0.0,RATTC,6,1996-08-02,1996-08-30,1996-08-06,98.03,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,USA,1996,1996-08,Mozzarella di Giovanni,14,4,24 - 200 g pkgs.,34.8,14,0,0,0,Rattlesnake Canyon Grocery,Paula Wilson,Assistant Sales Representative,2817 Milton Dr.,Albuquerque,87110,USA,667.2
65,10273,10,24.8,24,0.05,QUICK,3,1996-08-05,1996-09-02,1996-08-12,76.07,QUICK-Stop,Taucherstraße 10,Cunewalde,Germany,1996,1996-08,Ikura,4,8,12 - 200 ml jars,31.0,31,0,0,0,QUICK-Stop,Horst Kloss,Accounting Manager,Taucherstraße 10,Cunewalde,01307,Germany,590.2
66,10273,31,10.0,15,0.05,QUICK,3,1996-08-05,1996-09-02,1996-08-12,76.07,QUICK-Stop,Taucherstraße 10,Cunewalde,Germany,1996,1996-08,Gorgonzola Telino,14,4,12 - 100 g pkgs,12.5,0,70,20,0,QUICK-Stop,Horst Kloss,Accounting Manager,Taucherstraße 10,Cunewalde,01307,Germany,145.0
67,10273,33,2.0,20,0.0,QUICK,3,1996-08-05,1996-09-02,1996-08-12,76.07,QUICK-Stop,Taucherstraße 10,Cunewalde,Germany,1996,1996-08,Geitost,15,4,500 g,2.5,112,0,20,0,QUICK-Stop,Horst Kloss,Accounting Manager,Taucherstraße 10,Cunewalde,01307,Germany,40.0
68,10273,40,14.7,60,0.05,QUICK,3,1996-08-05,1996-09-02,1996-08-12,76.07,QUICK-Stop,Taucherstraße 10,Cunewalde,Germany,1996,1996-08,Boston Crab Meat,19,8,24 - 4 oz tins,18.4,123,0,30,0,QUICK-Stop,Horst Kloss,Accounting Manager,Taucherstraße 10,Cunewalde,01307,Germany,877.0
69,10273,76,14.4,33,0.05,QUICK,3,1996-08-05,1996-09-02,1996-08-12,76.07,QUICK-Stop,Taucherstraße 10,Cunewalde,Germany,1996,1996-08,Lakkalikööri,23,1,500 ml,18.0,57,0,20,0,QUICK-Stop,Horst Kloss,Accounting Manager,Taucherstraße 10,Cunewalde,01307,Germany,470.2
70,10274,71,17.2,20,0.0,VINET,6,1996-08-06,1996-09-03,1996-08-16,6.01,Vins et alcools Chevalier,59 rue de l'Abbaye,Reims,France,1996,1996-08,Flotemysost,15,4,10 - 500 g pkgs.,21.5,26,0,0,0,Vins et alcools Chevalier,Paul Henriot,Accounting Manager,59 rue de l'Abbaye,Reims,51100,France,344.0
71,10274,72,27.8,7,0.0,VINET,6,1996-08-06,1996-09-03,1996-08-16,6.01,Vins et alcools Chevalier,59 rue de l'Abbaye,Reims,France,1996,1996-08,Mozzarella di Giovanni,14,4,24 - 200 g pkgs.,34.8,14,0,0,0,Vins et alcools Chevalier,Paul Henriot,Accounting Manager,59 rue de l'Abbaye,Reims,51100,France,194.6
72,10275,24,3.6,12,0.05,MAGAA,1,1996-08-07,1996-09-04,1996-08-09,26.93,Magazzini Alimentari Riuniti,Via Ludovico il Moro 22,Bergamo,Italy,1996,1996-08,Guaraná Fantástica,10,1,12 - 355 ml cans,4.5,20,0,0,1,Magazzini Alimentari Riuniti,Giovanni Rovelli,Marketing Manager,Via Ludovico il Moro 22,Bergamo,24100,Italy,38.2
73,10275,59,44.0,6,0.05,MAGAA,1,1996-08-07,1996-09-04,1996-08-09,26.93,Magazzini Alimentari Riuniti,Via Ludovico il Moro 22,Bergamo,Italy,1996,1996-08,Raclette Courdavault,28,4,5 kg pkg.,55.0,79,0,0,0,Magazzini Alimentari Riuniti,Giovanni Rovelli,Marketing Manager,Via Ludovico il Moro 22,Bergamo,24100,Italy,259.0
